工具名称 Tool_Name,工具类别 Tool_Category,所属公司 Company,公司总部国家 Company_Country,工具发布日期 Tool_Release_Date,综合能力指数 Overall_Score
Code Llama,编程助手,Meta,美国,2023-08-24,63.5
通义灵码,编程助手,阿里巴巴,中国,2023-11-02,64.5
Tabnine,编程助手,Tabnine,以色列,2019-06-01,61.4
Midjourney,图像生成,Midjourney,美国,2022-07-12,37.9
Phind,编程助手,Phind,美国,2022-06-01,64.1
Claude Code,编程助手,Anthropic,美国,2025-02-24,62.0
秘塔AI搜索,AI搜索,秘塔网络,中国,2024-02-29,61.1
You.com,AI搜索,You.com,美国,2021-12-01,61.7
Replit Agent,编程助手,Replit,美国,2023-10-01,63.5
Windsurf,编程助手,Codeium,美国,2022-11-01,64.5
GitHub Copilot,编程助手,GitHub (微软),美国,2021-06-29,63.4
Cursor,编程助手,Anysphere,美国,2023-03-01,62.7
NotebookLM,AI搜索,Google,美国,2023-07-01,62.6
HeyGen,数字人视频,HeyGen,美国,2022-12-01,56.3
即梦 Dreamina,视频生成,字节跳动,中国,2024-05-01,41.0
Synthesia,数字人视频,Synthesia,英国,2020-12-01,57.0
Perplexity,AI搜索,Perplexity AI,美国,2022-12-01,64.2
Suno,音乐生成,Suno,美国,2023-12-20,40.5
Whisper,语音助手,OpenAI,美国,2022-09-21,54.9
ElevenLabs,语音助手,ElevenLabs,美国,2022-10-01,55.4
Stable Diffusion,图像生成,Stability AI,英国,2022-08-22,37.7
Ideogram,图像生成,Ideogram,加拿大,2023-08-01,39.4
DALL·E 3,图像生成,OpenAI,美国,2023-10-03,40.2
Adobe Firefly,图像生成,Adobe,美国,2023-03-21,39.7
可灵 Kling,视频生成,快手,中国,2024-06-06,41.3
Pika,视频生成,Pika Labs,美国,2023-11-28,40.0
Sora,视频生成,OpenAI,美国,2024-02-15,42.0
Runway,视频生成,Runway,美国,2023-06-06,40.8
文心一格,图像生成,百度,中国,2023-05-10,40.0
Mistral Le Chat,通用聊天助手,Mistral AI,法国,2023-09-01,72.2
Llama,通用聊天助手,Meta,美国,2023-02-24,71.3
DeepSeek,通用聊天助手,深度求索,中国,2024-05-31,75.5
Kimi,通用聊天助手,月之暗面,中国,2023-10-09,77.1
文心一言,通用聊天助手,百度,中国,2023-03-16,74.1
通义千问,通用聊天助手,阿里巴巴,中国,2023-04-07,78.1
OpenAI o1,通用聊天助手,OpenAI,美国,2024-09-12,74.6
ChatGPT,通用聊天助手,OpenAI,美国,2022-11-30,82.1
GPT-4o,通用聊天助手,OpenAI,美国,2024-05-13,79.7
Grok,通用聊天助手,xAI,美国,2023-11-03,75.9
Gemini 2.0,通用聊天助手,Google,美国,2024-12-11,78.8
Claude 3.5 Sonnet,通用聊天助手,Anthropic,美国,2024-06-20,74.2
Gemini,通用聊天助手,Google,美国,2023-12-06,82.2
Claude,通用聊天助手,Anthropic,美国,2023-03-14,77.9
盘古大模型,通用聊天助手,华为,中国,2023-07-18,72.5
天工,通用聊天助手,昆仑万维,中国,2023-04-17,78.0
360智脑,通用聊天助手,三六零,中国,2023-03-29,72.3
Cohere,通用聊天助手,Cohere,加拿大,2021-09-02,75.8
Pi,通用聊天助手,Inflection AI,美国,2023-05-02,72.5
Character.AI,通用聊天助手,Character Technologies,美国,2022-09-16,72.4
HuggingChat,通用聊天助手,Hugging Face,美国,2023-04-28,74.1
腾讯混元,通用聊天助手,腾讯,中国,2023-09-07,74.7
智谱清言,通用聊天助手,智谱AI,中国,2023-08-31,75.9
讯飞星火,通用聊天助手,科大讯飞,中国,2023-05-06,77.4
豆包,通用聊天助手,字节跳动,中国,2023-08-17,79.1
阶跃星辰 Step,通用聊天助手,阶跃星辰,中国,2024-05-01,74.1
海螺AI,通用聊天助手,MiniMax,中国,2024-05-01,78.1
百川智能,通用聊天助手,百川智能,中国,2023-06-15,70.8
零一万物 Yi,通用聊天助手,零一万物,中国,2023-11-06,74.8
商量 SenseChat,通用聊天助手,商汤科技,中国,2023-04-10,75.3
Udio,音乐生成,Uncharted Labs,美国,2024-04-10,39.8
